,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
chorus,19.0,23.0,61.0,69.0,94.0,128.0,124.0,121.0,54.0,70.0,43.0,,119.0,4.0,55.0,51.0,48.0,28.0,30.0,64.0,30.0,9.0,57.0,71.0,37.0,48.0,12.0,63.0,37.0,18.0,15.0,4.0,58.0,17.0,17.0,39.0,72.0,1809.0
don't,36.0,34.0,62.0,68.0,129.0,127.0,148.0,139.0,74.0,76.0,62.0,,93.0,41.0,15.0,80.0,20.0,1.0,49.0,47.0,49.0,7.0,46.0,,39.0,1.0,8.0,271.0,20.0,13.0,34.0,7.0,28.0,42.0,8.0,71.0,21.0,1966.0
play,6.0,4.0,15.0,6.0,2.0,4.0,7.0,17.0,3.0,2.0,5.0,,12.0,,,4.0,3.0,1.0,7.0,,7.0,,10.0,7.0,3.0,,2.0,23.0,,,2.0,2.0,,,,,10.0,164.0
it,39.0,65.0,119.0,133.0,321.0,323.0,249.0,401.0,150.0,173.0,187.0,7.0,130.0,150.0,139.0,135.0,74.0,9.0,63.0,57.0,63.0,55.0,115.0,70.0,60.0,17.0,10.0,258.0,36.0,18.0,65.0,43.0,88.0,26.0,62.0,143.0,47.0,4100.0
no,21.0,32.0,51.0,59.0,101.0,200.0,91.0,190.0,126.0,114.0,61.0,,75.0,13.0,9.0,81.0,3.0,3.0,1.0,73.0,1.0,2.0,21.0,41.0,15.0,13.0,4.0,104.0,5.0,24.0,19.0,6.0,52.0,9.0,25.0,97.0,15.0,1757.0
more,3.0,11.0,22.0,15.0,33.0,24.0,36.0,48.0,10.0,18.0,13.0,,33.0,10.0,1.0,8.0,3.0,3.0,10.0,1.0,10.0,,16.0,22.0,4.0,2.0,2.0,88.0,5.0,,8.0,13.0,4.0,10.0,12.0,41.0,,539.0
that,52.0,71.0,129.0,84.0,236.0,168.0,190.0,281.0,59.0,71.0,134.0,,222.0,16.0,38.0,98.0,11.0,25.0,34.0,108.0,34.0,15.0,53.0,33.0,65.0,54.0,22.0,120.0,38.0,21.0,60.0,51.0,101.0,25.0,56.0,11.0,15.0,2801.0
song,4.0,6.0,29.0,,9.0,21.0,36.0,12.0,1.0,3.0,4.0,,7.0,2.0,3.0,,,,,7.0,,,13.0,,1.0,1.0,,,2.0,1.0,,9.0,7.0,6.0,3.0,2.0,5.0,194.0
for,19.0,70.0,50.0,77.0,124.0,85.0,87.0,232.0,71.0,35.0,83.0,,119.0,56.0,142.0,69.0,12.0,9.0,39.0,21.0,39.0,18.0,23.0,37.0,23.0,58.0,18.0,78.0,39.0,29.0,39.0,37.0,22.0,67.0,41.0,70.0,18.0,2056.0
me,67.0,154.0,230.0,158.0,283.0,409.0,383.0,406.0,207.0,286.0,203.0,22.0,132.0,164.0,99.0,230.0,75.0,52.0,295.0,152.0,295.0,50.0,43.0,57.0,133.0,48.0,22.0,227.0,40.0,65.0,58.0,40.0,34.0,123.0,132.0,166.0,81.0,5621.0
brings,1.0,,5.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,10.0
back,2.0,10.0,30.0,20.0,28.0,44.0,54.0,74.0,19.0,72.0,45.0,,5.0,17.0,6.0,6.0,6.0,13.0,21.0,,21.0,2.0,13.0,2.0,2.0,5.0,5.0,22.0,17.0,,17.0,7.0,,,1.0,2.0,89.0,677.0
memories,1.0,3.0,,1.0,2.0,1.0,2.0,,,2.0,,,,9.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,24.0
of,33.0,64.0,150.0,176.0,182.0,185.0,157.0,173.0,66.0,52.0,140.0,7.0,105.0,32.0,62.0,36.0,61.0,22.0,44.0,31.0,44.0,26.0,84.0,118.0,34.0,81.0,31.0,103.0,32.0,53.0,57.0,34.0,107.0,26.0,177.0,68.0,32.0,2885.0
days,2.0,3.0,3.0,4.0,9.0,1.0,5.0,10.0,2.0,20.0,3.0,,3.0,2.0,21.0,1.0,18.0,,,2.0,,1.0,,26.0,,,2.0,5.0,1.0,,10.0,4.0,7.0,,3.0,2.0,,170.0
i,162.0,244.0,459.0,386.0,774.0,688.0,645.0,1083.0,336.0,415.0,450.0,7.0,694.0,264.0,139.0,296.0,186.0,58.0,352.0,234.0,352.0,49.0,128.0,176.0,183.0,173.0,16.0,827.0,75.0,156.0,190.0,106.0,109.0,93.0,269.0,154.0,110.0,11038.0
once,5.0,15.0,6.0,1.0,1.0,5.0,6.0,7.0,1.0,,4.0,,,4.0,1.0,1.0,12.0,,,9.0,,,5.0,3.0,,15.0,,2.0,,,1.0,2.0,,8.0,,31.0,,145.0
knew,9.0,13.0,10.0,3.0,7.0,7.0,18.0,55.0,,2.0,,,1.0,15.0,1.0,5.0,,,,2.0,,,,,6.0,3.0,,,6.0,,4.0,12.0,,,1.0,,3.0,183.0
