,song,artist
0,Don't Go Breaking My Heart,Elton John
1,Footloose,Various Artists
2,Dancing With Myself,Billy Idol
3,September,"Earth, Wind & Fire"
4,Africa,Toto
5,Ain't No Mountain High Enough,Marvin Gaye
6,Hotel California - Eagles 2013 Remaster,Eagles
7,Take on Me,a-ha
8,Killing Me Softly With His Song,Fugees
9,Sweet Child O' Mine,Guns N' Roses
10,Maniac,Various Artists
11,Desert Rose,Sting
12,A Whiter Shade Of Pale,Procol Harum
13,Dancing Queen,ABBA
14,Hold the Line,Toto
15,Bohemian Rhapsody - Remastered 2011,Queen
16,YMCA - Original Version 1978,Village People
17,Across 110th Street,Bobby Womack
18,Hear My Train a Comin',Jimi Hendrix
19,Here Without You,3 Doors Down
20,Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen
21,Wheel in the Sky,Journey
22,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers
23,I Want You Back,Various Artists
24,Devil Woman - 2001 Remaster,Cliff Richard
25,Baby Come Back,Various Artists
26,"Hey, Johnny Park!",Foo Fighters
27,Whole Lotta Love - 1990 Remaster,Led Zeppelin
28,Careless Whisper,George Michael
29,Love Is In The Air,John Paul Young
30,Somebody To Love - Remastered 2011,Queen
31,Every Breath You Take,Various Artists
32,You're The One That I Want,Various Artists
33,Walk This Way,Aerosmith
34,House Of The Rising Sun,The Animals
35,American Pie,Don McLean
36,A Horse with No Name,America
37,Radio Ga Ga - Remastered,Queen
38,Oh! Sweet Nuthin' - 2015 Remastered,The Velvet Underground
39,We Are The Champions - Remastered 2011,Queen
40,Give A Little Bit,Supertramp
41,Five Minutes More,Frank Sinatra
