,song_title,artist_name,ids
0,The Time Of Our Lives (International Version),Miley Cyrus,0IuHVgAvbNDJnJepuSZ8Oz
1,Good Girl Gone Bad: Reloaded,Rihanna,3JSWZWeTHF4HDGt5Eozdy7
2,Replay,Iyaz,44hyrGuZKAvITbmrlhryf8
3,Everytime We Touch [Premium Edition],Cascada,37UdEjtwrEEqIYiY131xCs
4,In My Own Words,Ne-Yo,1WO7bigEZckVrkzPBjAsiQ
5,B'Day Deluxe Edition,Beyoncé,0Zd10MKN5j9KwUST0TdBBB
6,The High Road (International Version),JoJo,66yYi2p2BNmb546VKkH1wy
7,Let Me Love You,Mario,7EXstuWka51pNFzEAidEol
8,Since U Been Gone,Kelly Clarkson,6eYW3u9E60TXB8Lg2XlPd9
9,I AM...SASHA FIERCE,Beyoncé,39P7VD7qlg3Z0ltq60eHp7
10,Fearless,Taylor Swift,2dqn5yOQWdyGwOpOIi9O4x
11,Spirit,Leona Lewis,7t1veDv7FWHYXskQEoU7dq
12,Songs About Jane,Maroon 5,7gGcnUEEQgIMV2JRwVQbrF
13,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,5ppnlEoj4HdRRdRihnY3jU
14,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,3ROfBX6lJLnCmaw1NrP5K9
15,Jordin Sparks,Jordin Sparks,6JCNOvp9UeMrFuXwNW0JW6
16,David Archuleta,David Archuleta,4aZ3Mf9Tza576UhJ9kjYd7
17,Unwritten,Natasha Bedingfield,1meis09isQJFDA65afUTt8
18,The Dutchess,Fergie,2knAf4wg8Gff8q1bXiXCTz
19,As I Am,Alicia Keys,0neqylYFL6s6Ikdf3UFmUo
20,Elephunk (International Version),The Black Eyed Peas,1bNyYpkDRovmErm4QeDrpJ
21,Greatest Hits: My Prerogative,Britney Spears,3caKTh2tJMowPiMz0cguLI
22,Let Go,Avril Lavigne,2RHaVgBsaXdHOvBTOD0vwq
23,Pure... 2000s Party,Sean Kingston,13WlQvCxVKxRu0CIJmFWa0
24,Jason Derulo (International),Jason Derulo,0DEsmIQ5ir7tz52Nkf4i1K
25,The Script,The Script,7Lv2e6qweacdWjqrQy7UNo
26,Mother's Day Songs,Britney Spears,0LplRIGNE4ds9AmJ6w0qXa
27,Red,Taylor Swift,5FerdPFXSHSnCVq4OBy4Ey
28,Let Go,Avril Lavigne,7h6XeTzy0SRXDrFJeA9gO7
29,Nellyville,Nelly,4HUUHHXBXImwksfbSPqE7q
30,Greatest Hits,*NSYNC,7MNoY9pyL6QnnVNeV3XfVR
31,Atomic Kitten,Atomic Kitten,340y6ZpqGxp4xW0203bOPN
32,Music Of The Sun,Rihanna,4FyGpObwABjn0o8Tdp7AZz
33,The Rokstarr Hits Collection,Taio Cruz,0eGvq1J5Ke7VlLLOYIlY4k
34,Coco,Colbie Caillat,7LxRHjK4Lm3CJSyLY9wsec
35,Survivor,Destiny's Child,2HcjLD0ButtKsQYqzoyOx9
36,Change,Sugababes,1xY00CnzzvXjYZjZEUS4qI
37,Mail On Sunday,Flo Rida,5j1wrOAOm5KFd17pPiSvle
38,Goodies,Ciara,71gUhKYZIWmmjqAHlY4Br3
39,Doo-Wops & Hooligans,Bruno Mars,6J84szYCnMfzEcvIcfWMFL
40,Because Of You,Ne-Yo,52q9xNv8COtSU9phlbO5sg
41,No Gravity,Shontelle,04j1yRxs5p0iN7Si3YPB50
42,Konvicted,Akon,6kzoWb4UzvKYgbDfAwgaFq
43,I'm Yours,Jason Mraz,0hmfkAEc0WQcv1dplyLYte
44,A Fever You Can't Sweat Out,Panic! At The Disco,2YeOhhJg3OWpN0F1VYPxtW
45,31 Minutes to Takeoff,Mike Posner,2nnIlWcriIqcJtjduWcTRl
46,The Diary Of Alicia Keys,Alicia Keys,6TqRKHLjDu5QZuC8u5Woij
47,Every Second Counts,Plain White T's,6MEfS6zFbBYZalRsumJsvs
48,"Hey, Soul Sister",Train,5lTCUyQrKcSmcw5ULkt75O
49,Ocean Eyes,Owl City,5Afh5z6eTtJ62nfqpKZtGv
50,Circus (Deluxe Version),Britney Spears,2tve5DGwub1TtbX1khPX5j
51,Little Voice,Sara Bareilles,2Z9WUERfMjOgQ6ze9TcGbF
52,One Of The Boys,Katy Perry,3OALgjCs6Lqw41853v4wEQ
53,Greatest Hits - Chapter One,Kelly Clarkson,0UxWN628tSTCaR4NVpqSHM
54,Konvicted,Akon,1cyN1SDx8uo2lBzelYG3qb
55,Hot Fuss,The Killers,6TJmQnO44YE5BtTxH8pop1
56,PCD (Revised International Version),The Pussycat Dolls,0ylxpXE00fVxh6d60tevT8
57,Just Dance,Lady Gaga,6sjW1TdbydfGkxADcsHXoU
58,Loose (International Version),Nelly Furtado,2yboV2QBcVGEhcRlYuPpDT
59,Shine,Estelle,5y4Ikuc4sLtNOpanoKKqwo
