Happier,Ed Sheeran
TiK ToK,Kesha
Rolling in the Deep,Adele
Impatient,Jeremih
Paris,The Chainsmokers
Halo,Beyoncé
If You Had My Love,Jennifer Lopez
Infinity 2008,Various Artists
Hotel California - Eagles 2013 Remaster,Eagles
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
The Nights,Various Artists
Fireflies,Owl City
Unsteady,X Ambassadors
goosebumps,Travis Scott
Boyfriend,Justin Bieber
Whatcha Say,Jason Derulo
The Ocean (feat. Shy Martin),Mike Perry
Dancing On My Own,Calum Scott
No Scrubs,TLC
September Song,JP Cooper
"i hate u, i love u (feat. olivia o'brien)",gnash
Demons,Imagine Dragons
Satisfya,Imran Khan
She Looks So Perfect,5 Seconds of Summer
Need You Now,Lady Antebellum
Black And Yellow,Wiz Khalifa
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill
All of Me,John Legend
Versace On The Floor,Bruno Mars
Photograph,Ed Sheeran
Pink + White,Frank Ocean
Classic,MKTO
Stamp on the Ground - Radio Edit,ItaloBrothers
When I Was Your Man,Bruno Mars
Wildest Dreams,Taylor Swift
Here Without You,3 Doors Down
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
2002,Anne-Marie
Stay With Me,Sam Smith
Your Song - Remastered,Elton John
The Girls,Calvin Harris
Alone,Alan Walker
When You Love Someone,James TW
Let Me Love You,DJ Snake
Jealous - Remix,Nick Jonas
Love Story,Taylor Swift
