,song_title,artist_name,ids
0,I See You,MISSIO,3dDqhWFE1ev9y7mnkEEG1p
1,Easier,Mansionair,0teTj8UrrJJEnNMX3eoq4Z
2,You're Somebody Else,flora cash,5BuS8meOLEcgGpdPPZfSgC
3,Nearer My God,Foxing,6l3mTuQHtjeqoyYWkTxld8
4,Black Bear,Andrew Belle,2lctdjQcxDUo9Q93GScAKC
5,vital : blue,morgxn,7hbW6wFwOhvqIwMgisJUIK
6,Mirror Master,Young the Giant,6blMxezujKgPe8HjHNveuG
7,Jungle (Radio Edit),Tash Sultana,2peYRO0S43aoxn8N3E4qAU
8,Coincidental,Betcha,4jlETvPQ17UqWn2JXMZce7
9,Guitar Beat,Prelow,0OU7x2IHQ9NgHgYTWYrXRw
10,You Haunt Me,Sir Sly,2u9iJU1eeLy4QOx6SkMsLM
11,Dear Me,OWEL,0qklq3waVgaH4eNeO19ZQY
12,Cinema Love,Patrick Martin,4sfoMGrDHeeO3BhAP2lM1t
13,Xenos,Leon of Athens,1hCLthnc6Q0zrfJxknU93h
14,Horizon,ISLAND,5JdKVqTVuq6o2tnFuNn4sk
15,The Youth,George Taylor,0wV6CrEjOUWw8XOUNyjOaM
16,Free Animal,Foreign Air,7I82cxUhP77MAqBeY9hkVa
17,Bottom Of The Deep Blue Sea,MISSIO,58CDsLKHOAKFTkAwFefW6d
18,Dead Boys,Sam Fender,45vySJkc2UuDd6DWYnJeAL
19,That's The Spirit,Bring Me The Horizon,7FqHuAvmREiIwVXVpZ9ooP
20,Dead Century,Wildlife,185WkhWJn5rAEtpR9GrOUc
21,Levitate,The Palms,3K8q99Bi8C6OYQbmUEaeR2
22,Leaving,Castlecomer,2GPHpcLADv3OAbUnHG51kp
23,Falling for the Evening,Golden Ears,1g48OrVTOAk3gD6kNhAsnI
24,Come Follow Me Down,George Taylor,45qH3mYvEOhFYrCVJC8QZn
25,Smoke,Mosa Wild,6TUWxFFYv4cPkgU9HuYGCJ
26,Chiaroscuro,Ocean Alley,0MVMsDS0kofp6A8cbJ5kSH
27,curse,Koda,6SVaiKpRO5hGm4jsTc97yD
28,Nothing Personal,Night Riots,6Wcl5gUQ52zyElbqMeYjMW
29,Violet City,Mansionair,1iLP59oFLYZaL801I48i9P
30,Matter Of Time,Fitness,7JPC1GrJ0hdQkCDCxQblv4
31,It's Too Much,Moose Blood,4oYSt8W2tS3wacfrgPzHom
32,The Singles Collection,Silversun Pickups,2m0063PKiyLZ0NQNEOhzHv
33,Drag,Day Wave,4hn0zhFiaWgWgA5I9POoA2
34,Just Say When,Nothing More,37ok5osrawwAKytEhlXjGD
35,Sit Next to Me,Foster The People,37UA0lZ3j64TGXZGnikUyE
36,Currents,Tame Impala,79dL7FLiJFOO0EoehUHQBv
37,All I Need,Cape Cub,37aLvaAV7WyCbSTjYrufg3
38,Young Blood EP,Saint Raymond,6rkpulKVwXAsc5Uuc7YlEi
39,Hold on to Your Heart,The XCERTS,2vpzTHAONPRfkg1np7dbjX
40,"Sleepwalking, Pt. I (Acoustic)",Alvarez Kings,391n9gKodK0NZ0riyymIzK
41,Big Ideas,The Boxer Rebellion,1S2ryIhicWRq8XE1e3rv6j
42,Happy Family,Sundara Karma,3B8Zh5AAsjPp6etof4qBdH
43,Love Gloom,Night Riots,12TKPek1DiFYRS8m1Y5Utt
44,Into the Night (Radio Edit),Pale Seas,2yYrlSEx7VFgdYbvbRT1Ee
45,First Steps,Two Feet,1IH1Oz8jD4hyN3eg8aHdjv
46,Astronaut (Something About Your Love),Mansionair,7gXdTAAzBuXqTV2kxSIPAk
47,Waves,Dean Lewis,0dcIrW5U3oco3GDCKiJ33I
48,63 Days,Atlas Genius,5aGVzJSl9a7wixznvz995F
49,Darlin’,Goodbye June,7rK95dGqm7hOseBp2PU04g
50,Stargazing for Beginners,Pale Seas,1eVQadtgk65NtaglgNfwc7
51,Temporary Love,The Brinks,1cRv0odNNvTSxVnNFmeusc
52,Sorry,Nothing But Thieves,4DH2xrTCaoJsbwiyXagvBE
53,Something Here,Day Wave,1wNJWcl78OpNKNDcDGMrjz
54,Half Light,BANNERS,08MEz4MGTHbp7dWWb7Q4Eu
55,Young Blood,Noah Kahan,6k8k4QjeVI2G2gyVMeqOUF
56,West Coast,MISSIO,4cSgASAuWJQ9igHuwMlCQ6
57,Just Say When (Version 2.0),Nothing More,0YQxKT6so33kUPPvrS5FfC
58,In the Middle,Mona,4oe0PSc8O6AOpUOkG4Qgt0
59,Nine Types of Light,TV On The Radio,0FvrvaVsWQ7kTdGzipW6HV
60,Youth is Only Ever Fun in Retrospect,Sundara Karma,3V4lfN3JEhYCagdxhijHp8
61,Nine Pound Shadow - EP,Nine Pound Shadow,0zOxy0QIvFV9G0zpP3HCqS
