,song_title,artist_name,ids
0,Sadnecessary,Milky Chance,5D20ZzsNB377xbshIFP9Nb
1,Greatest Hits '93 - '03,311,0OsjlbBaSZFbZnXGAUysMG
2,Blackout,Sublime With Rome,45d3TzOxeMA1bWgCD4RkYs
3,All Right,Cisco Adler,2n9giwGDVwp9WRoTLXfwub
4,Levitate,The Palms,3K8q99Bi8C6OYQbmUEaeR2
5,Guitar Beat,Prelow,0OU7x2IHQ9NgHgYTWYrXRw
6,Jungle (Radio Edit),Tash Sultana,2peYRO0S43aoxn8N3E4qAU
7,Tourist History,Two Door Cinema Club,0gyRFAfY08NFv7N8RTFg9M
8,Burn the House Down,AJR,55D73a4LAjBWHG35LTG5rg
9,Courage To Grow,Rebelution,518YN9HLtDaQix1lEJiVLo
10,Walk on the Moon (feat. Lynx),Luke Mitrani,3rAZDcr1bEh85GiD8UoPPW
11,Spreading Rumours,Grouplove,1VNBZDM7OxEQPFbEtVqUuf
12,Weezer (Green Album),Weezer,2OBSz5Nlto0Q5CtYPzPY7c
13,Dive,Coast Modern,7227LXYWCbKwvGNfn6nWJM
14,Strange Love,Simple Creatures,54YxdzALRQHJYWPrgCHmo1
15,Episode I,Just Loud,3RrQW08C8THSayARHysvOU
16,Visions (Featuring Chloe Chaidez of Kitten),Dirty Heads,6dLAJaqUalhMQ2XGffUz0q
17,This Land,Gary Clark Jr.,6pwdy6oQdwSQo8XOfpfAJJ
18,Saturday Sun,Vance Joy,0UubMFNGhBzivj1Qa4sey1
19,Woodstock,Portugal. The Man,4VzzEviJGYUtAeSsJlI9QB
20,They Might've Even Loved Me,NoMBe,4LwTK2k8JX9zsxvFswoH1A
21,Vacation,Dirty Heads,1rKQQgKBn6h1VpONPD97pw
22,End of summer (now I know),The Front Bottoms,2eGtuknDEEvY4Ry33hFkK2
23,How To Be A Human Being,Glass Animals,6qb9MDR0lfsN9a2pw77uJy
24,Painting (Masterpiece),Lewis Del Mar,7jMTaMVtCLUU0jFtASijhC
25,Tell Me Tell Me,courtship.,0XbVK5VZidNVJ66a1m6KXz
26,Ride Or Die (feat. Foster The People),The Knocks,4NSPREWQ2t8VdRGqK45UkD
27,Falling Down (Bonus Track),Lil Peep,3J0AWftMu0tsXw22obufYn
28,Talk Too Much,COIN,1S6679M19iLZfuoAgtCD1g
29,Carried Away,Overstreet,3gXKO1gLcuk9zyeGwWfo1r
30,Sacred Hearts Club,Foster The People,5lFvZh6pCTJzr9UStebyCF
31,The Best Of Sugar Ray,Sugar Ray,2hjQQj7x2YipViOCw6UX1N
32,The Click,AJR,6hpiZXzsZxlkTXY8zavu3N
33,these are my friends,lovelytheband,6STIVAWmZI1EhXgAJpHL1H
34,Kona Town,Pepper,37ijUtHcOrsDCIQRsa5sB4
35,Why Does Everything Happen So Much EP,Prelow,2rQIMkDTxP8IPGtF7qFPwE
36,World on Fire,Stick Figure,19jEg2Oa1eTEYFnOlKlIYQ
37,Enema Of The State,blink-182,5qt11cWjSs5Gbqj2Wyfu38
38,Golden Age,Late Night Episode,0CJ1sH1T6SsJS6tFEr3M3Z
39,Vacation,Seaway,1g2GLrmjcCByLz1ZpCEDFQ
40,In The Wind,MAGIC GIANT,7tSccVmXBn6RyHKoeKgKIv
41,Are You High?,Bad Sounds,6cHyED8wpN27l22MAke6fz
42,Cocoon,Milky Chance,6AhNACx5j2NqU840PMi5O3
43,Tijuana Sunrise,Goldfinger,4EBNQj8IjDNOoGS30Q3ZhW
44,Celebrate,Rebelution,34hn4C1a8hBHGuNZx5pwlY
45,Walking On A Dream,Empire of the Sun,04gYcIojJt78nYnN5oOrKt
46,Fountain Tropical EP,Bay Ledges,7tH4qakdmRWHEeYhU6FSbe
47,WALLS,Kings of Leon,08ibdX8K0GETv20UEku3sm
48,Sublime Greatest Hits,Sublime,0E2blcrvyduixEolxZXot7
49,Blurryface,Twenty One Pilots,3cQO7jp5S9qLBoIVtbkSM1
50,Blossom (Deluxe),Milky Chance,72xhsdVmVWFXJuSjABjqtC
51,ZABA,Glass Animals,14IOe7ahxQPTwUYUQX3IFi
52,Million Bucks,Smallpools,1k6yLyqohaHQBBg13jkrtK
