,song_title,artist_name,ids
0,Sucker,Jonas Brothers,4W0r9HOcuCC6Vh7aze2hwi
1,Death Race For Love,Juice WRLD,1GYVNOzwhx1nMcIJDogSNp
2,They Don't Know Me,Josefine,4M73hRiZWBNCMbHwJRWHML
3,I AM YOU,YNW Melly,7naY6j4wcgUxfHB98G79CW
4,A Little Love,Cam Sanders,7Cy1YDQDIY2YagsLmIFaOw
5,Good Die Young,Bando Pop,386pARMwR057cr1erOsv7q
6,Do You Think About Me,Josefine,32GiQlzd2kO6S474bCF6BJ
7,"thank u, next",Ariana Grande,2fYhqwDWXjbpjaIJPEfKFw
8,Relax,Abby Jasmine,7aMR5YEH7oyx9y1EY5YX8r
9,Yung N Poppin,Ruchir,69T2zOAg8cblfK40CanIaS
10,Young,Project North,1UCWw2IrVLM3LvkkHIZJQs
11,Just Tonight,Huey Mack,5UqnUFdIwXKIyuVkRjrZ8h
12,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Post Malone,3pOj4mmxL5MUwR1IR8LPzL
13,MIDDLE CHILD,J. Cole,3XzSOIE6zGLliuqsVGLmUc
14,Rock Ya Body,Phoînix Keyz,3fTAgckjNSo03iVHzThkaJ
15,More Than You,HARBER,2mmJJDi4yiLURF0KPsoVnb
16,There for You,Hilary Roberts,0ikPMZ25FF1KMErimhxs0g
17,7 rings,Ariana Grande,03D36t8ODrA8ATvoTStU9P
18,Next Wednesday,Chris Webby,5ZpgkkPPY48eEMpX20WyQM
19,Connected (feat. PnB Rock),Victor Oladipo,7htyq2B6GtTsX87ZXVa0NF
20,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Post Malone,35s58BRTGAEWztPo9WqCIs
21,Why Her,Mauro Ferdinand,7KkEVpFqTvYE75rWzjo4Kq
22,RIRI,11 LIT3S,0jqRJMDM59b1wbyIdvttir
23,Wow.,Post Malone,5Dcz8PZHKuvTyjbqEPL5VM
24,Championships,Meek Mill,6UYZEYjpN1DYRW0kqFy9ZE
25,Where I Wanna B Tonight,Newclaess,18coXlxpj8zu1cJhBJRZuj
26,Ain't Nothing Like It,KLYMVX,6BE0Bh5eJwjmQNvhRUlwH1
27,King,Giovanny,2GGix131qOFLSQrXZpOU0N
28,Drip Harder,Lil Baby,2yXnY2NiaZk9QiJJittS81
29,Still Miss You,PYNNO,76zEng3RW11UMcheoIAZj4
30,ASTROWORLD,Travis Scott,41GuZcammIkupMPKH2OJ6I
31,Mansion Music,TMG Fresh,01UWYYpzwP7cN57S0fHgmn
32,Without Me,Halsey,0zzrCTzvL4ZmR42xF46Afm
33,Tonight,Might Not,3iWMAfDBF0pEhTWmDjrfjR
34,MUDBOY,Sheck Wes,15Id9Jrqab8IwHFirdrrLp
35,Freaky With You,Robert Falcon,2Bf9ZoAHvFwLJ44VM7bxLq
36,Dying To Live,Kodak Black,5n1GSzC1Reao29ScnpLYqp
37,"thank u, next",Ariana Grande,684W6NpKllEexqQlGqetCi
38,Strawberry Lip Smacker,Caroline Kole,15GrbNTSPvt0S6w5gd5DbZ
39,Hoodie SZN,A Boogie Wit da Hoodie,3r5hf3Cj3EMh1C2saQ8jyt
40,All 4 U,Kyle Denmead,3jAtnarTRUlFQ1B5mGts8J
41,Dreaming Lucid,Ambar Lucid,13ZO5RTntVjwbpRxrL5bpC
42,Cry,Chris Jobe,7lzVtrsN6VblIwb4o1gvKi
43,Dancing With A Stranger (with Normani),Sam Smith,1V9oE8bVilClrk5naqyyvL
44,i am > i was,21 Savage,007DWn799UWvfY1wwZeENR
45,Drive Me Home (Official Animal Sound 2019 Anthem),Jordan Jay,1E77Ci3lPi0fDKCcA5WnvZ
46,Fire Escape,Folded Dragons,1vvuUkIPx3H9cZLeNjgMWr
47,Hurry,Gromo,1wQMCa6UhQggi1A6yv5JRG
48,Make It Up to You,The Golden Pony,4Yvf5BSMKGgqWkz2zZCBxU
49,Leave Me Alone,Flipp Dinero,4TUZUtCiZB4PYIoX20bOeX
50,Evil Genius,Gucci Mane,5xqQtdlJUY7Fg4BMp13LrX
51,It Ain't Safe,Dougie F,62IYetRQ3Ha5ooAPF6XBPg
52,Suncity,Khalid,2Qxc2NJ7yPKVFRWi3llRr2
53,?,XXXTENTACION,2Ti79nwTsont5ZHfdxIzAm
54,Goodbye & Good Riddance,Juice WRLD,6tkjU4Umpo79wwkgPMV3nZ
55,Blood,Mindchatter,5WsJPBtPVHer9v7BLH6YgF
56,Money,Cardi B,2drqVzCt52KiDxKgl0Rq0P
57,What I Want,Julian Javan,6WKyIJIQUhFLAuBw2RyQvx
58,Keanu Reeves,Logic,0Tirid9OpXh04sbjrNq57w
59,Love Ain't 4 Me,Mozado,11BqfSzlkW4D2ks5o2Vyad
60,OMG,DJ Sliink,5LupyAsquCG23zHKMBg31R
61,Future Hndrxx Presents: The WIZRD,Future,3LpIwZdzFwc10psLingT8x
62,Gassed Up,7evin7ins,17m7Iejj2Rot6lWnxQtT3L
63,"XXXTENTACION Presents: Members Only, Vol. 4",XXXTENTACION,4EeDFhIVRxOg4dx7ozSNXa
64,beerbongs & bentleys,Post Malone,6trNtQUgC8cgbWcqoMYkOR
65,Tough As Nails,Mindchatter,3nNX9nPLlAcMaOHQQfTuPY
66,Pray For The Wicked,Panic! At The Disco,6ApYSpXF8GxZAgBTHDzYge
67,Slow Down (Remixes),Northern National,23GYYsqohVI1rGXWx60fvw
68,We Own This,Filatov & Karas,68vPatZgO7I5yel8kadU1q
69,Wait for Me,SN0WMASS,6H0CztDpxHT4yLJnROyRYk
70,let's ride,esentrik,2eAeSOlGhrffwPJ5TJD2Gj
71,Happier,Marshmello,78EicdHZr5XBWD7llEZ1Jh
72,Wetlands,Fred Daniels,1qbkxqDjy67LVhLfqixTja
73,Maison Margiela (feat. Lil One Hunnet),Slowface,48exb7YzqfcliPv7R5m4q2
74,Splashin,Rich The Kid,2vVelr6IEfPYJQldabM0IJ
75,MIA (feat. Drake),Bad Bunny,0p0W4RXcnc59jgatcdZozO
76,Lost in the Fire,Gesaffelstein,3gXi45Aift9hCoB6lvuVJb
77,FRIENDS KEEP SECRETS,benny blanco,7dQ734EW0iLvQfF6vBFNiZ
78,Regardless,Sayyi,6TL6QA1Y2svijJK8SbxyZ6
79,i'm so tired...,Lauv,13yMsBNa2femeWzhcDOqFw
80,Famous Cryp,Blueface,2gZmrByp6yiyePHi3dzZ1d
81,Taste (feat. Offset),Tyga,0yd01cU78rnlFXq6vRxPSR
82,Nights Like This (feat. Ty Dolla $ign),Kehlani,26g9o6rTzxnnrD2VNefpye
83,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Dua Lipa,11u8ZjrMHunQFg7l3nfDaX
84,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin,3IO8IPjwXuzPJnoaqkwYrj
85,SKINS,XXXTENTACION,1qsQOC4Jn0fnaUZLAbs4dz
86,when the party's over,Billie Eilish,2DfPdWWXknoGKrfa2Eicyw
87,Scorpion,Drake,1ATL5GLyefJaxhQzSPVrLX
88,17,XXXTENTACION,5VdyJkLe3yvOs0l4xXbWp0
89,Future & Juice WRLD Present... WRLD ON DRUGS,Future,6P9PZjWXoCRF5b66BafPKY
