,song_title,artist_name,ids
0,Black Bear,Andrew Belle,2lctdjQcxDUo9Q93GScAKC
1,Broken Machine (Deluxe),Nothing But Thieves,0r7wrRVD77lNrD9t2QgZrq
2,Woodland - EP,The Paper Kites,5l8axHOB8sCsWqfK5XVtbF
3,Falling for the Evening,Golden Ears,1g48OrVTOAk3gD6kNhAsnI
4,Stateless,Stateless,72MlSA2nv8w9b25ybqpm0m
5,Astronaut (Something About Your Love),Mansionair,7gXdTAAzBuXqTV2kxSIPAk
6,Dream Your Life Away,Vance Joy,6rIbiUMmZJfqJRnXhVxFvg
7,Pilot EP,Amber Run,6gYzypEY4tTiESfptdoOrB
8,Dead Century,Wildlife,185WkhWJn5rAEtpR9GrOUc
9,"I'll Keep You In Mind, From Time to Time",Moose Blood,7aMvv0lYIhPyudfM1TmItV
10,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack),The Neighbourhood,11c2pVVBENFMufPqJMIC3R
11,Gooey,Glass Animals,6DpPctloXGrodIm8fZg7hn
12,Down The Way,Angus & Julia Stone,7buvQ1qE33uqzn6hoez8Sv
13,Every Kingdom (Deluxe Version),Ben Howard,2MxcbOGFi99D9JACvj74AH
14,1435,Selfish Things,0Kr4ion4pdBMtnzfaGYUAG
15,You're Somebody Else,flora cash,5BuS8meOLEcgGpdPPZfSgC
16,Loneliness,Aaron Taos,77cZfwFX3Rma5RMfuLTriA
17,Bon Iver,Bon Iver,1JlvIsP2f6ckoa62aN7kLn
18,Crooked Shadows,Dashboard Confessional,0qByP4IV1nNHhLs3RfDrGB
19,Indigo Puff,Sundara Karma,3U87oNqyChE7Akx3b52x2w
20,Long Way Down,Tom Odell,3oEqMQVxXfn2jGRaauU2iv
21,New Music from Mirror Master,Young the Giant,6fGssHBpmlw8NtE1FQvId0
22,Smoke + Mirrors,Imagine Dragons,0gmsXcmrcnxdZBrD5EyJEL
23,100,The Hunna,4JqtQJR0R6xSJqlmGH31X3
24,Mechanical Bull (Expanded Version),Kings of Leon,0cRJKK0y1sfZEqWub4dK9v
25,Equatorial Ultravox EP,Chad Valley,2vXASNgxhjWSV5cGkJc28o
26,brand new eyes,Paramore,27UqZoE1kV6sIV6uQcI28A
27,Leaving,Castlecomer,2GPHpcLADv3OAbUnHG51kp
28,Just Say When (Version 2.0),Nothing More,0YQxKT6so33kUPPvrS5FfC
29,Swing,Josiah and the Bonnevilles,0vte1lNBMLeRkrfN23UssQ
30,The Temper Trap,The Temper Trap,2iaZi2RryjkmlSj0apnzDv
31,You Are All I See,Active Child,0naMIQoMmwqmpXiO7qFqCX
32,Broods,Broods,260VhALUsA6HdgBRfCLHh4
33,Love Songs Drug Songs,X Ambassadors,2gb0qB8risulVnHeXCqqhK
34,"Sleepwalking, Pt. I (Acoustic)",Alvarez Kings,391n9gKodK0NZ0riyymIzK
35,Leaflings,Glass Animals,0lUaIHoBEbk85zZz5oZT0y
36,Adore,Amy Shark,4XW4uoRtDulaUs4Qb81UDx
37,Nothing But Thieves (Deluxe),Nothing But Thieves,3q4BkDV5B7sczFcfrIl2a2
38,Shake! Shake! Shake!,Bronze Radio Return,0hO7tdTpSVN1ADtLbvJiQ5
39,Sadnecessary,Milky Chance,5D20ZzsNB377xbshIFP9Nb
40,Gilgamesh,Gypsy & The Cat,3oN0gGqa25NnWjCjng1kSI
41,Sacred Hearts Club,Foster The People,5lFvZh6pCTJzr9UStebyCF
42,Free Animal,Foreign Air,7I82cxUhP77MAqBeY9hkVa
43,The Lumineers,The Lumineers,3q66dhU09HpzTl1bxqsVJ5
44,It's Too Much,Moose Blood,4oYSt8W2tS3wacfrgPzHom
45,Shangri La,Jake Bugg,5b5kAlhPPxiMrSd12RzEDI
46,The Peace of Wild Things,Paper Route,4gCXFcJXBeseiCQ0GCakO0
47,Darlin’,Goodbye June,7rK95dGqm7hOseBp2PU04g
48,Boys & Girls,Alabama Shakes,6EoJL3ty0FyE7XmLpAX2sj
49,God Loves You When You're Dancing,Vance Joy,4i9ynTHhVP8XNoV85smGvE
50,Siamese Dream (2011 - Remaster),The Smashing Pumpkins,3YDm8Vu6IOjjVdLNHlJtj0
51,Float,Pacific Air,5kkAGlv0vNQvtPvchgYdCa
52,Julie Blue,Joe Purdy,7jCI1V11SNSc6wjEEG2NlG
53,Morning Report,Arkells,1BPpUmhXJdmDVa07f1qQVz
54,Tell Me,Jessica Lea Mayfield,61X8msx06YFzh8cKZosD5X
55,Yuna,Yuna,7KLVnIYwRybc9vVLWZYTCM
56,Weekends,Amy Shark,72YMCWtcqKgOhAUsn6bEO4
57,Singles,Future Islands,1dKh4z5Aayt8FFDWjO5FDh
58,DWNTWN,DWNTWN,2S5gOslfCKK6ZIJ7F9Krad
59,Nine Types of Light,TV On The Radio,0FvrvaVsWQ7kTdGzipW6HV
60,No Need To Argue,The Cranberries,5GugLrmYMl5VRoe2zNgLGp
61,So Tonight That I Might See,Mazzy Star,5K18gTgac0q6Jma5HkV1vA
62,Morning View,Incubus,1rQZbncicoXyB64DqoH7OY
63,Colpa Delle Stelle: Music From The Motion Picture,Grouplove,2ITK7Evq08n0kCoT4TpeoB
64,YOU,Morgan Saint,0gB5qhngqBKY3YQinZl5Mp
65,Love Gloom,Night Riots,12TKPek1DiFYRS8m1Y5Utt
66,James Blake,James Blake,0qY6lBQSi8IMJjHYDPdAqX
67,Koda Vista,Joywave,3fufxe1NmkhSbQUISPFHrb
68,Crystals,Of Monsters and Men,1t5eMcZmuPuL28AYU7zQSA
69,Fears,Twin Wild,1LmUCSQhSIppB8aKXHeULb
70,Guru,Coast Modern,3rgAzv3ZIHp9ENbiUJYuIR
71,The Ghost Who Walks,Karen Elson,5VyPKrrpiLVwcvBAtQnbm2
72,Nightlife,Phantogram,76MThARuTPq59l5oseVCJT
73,"Passive Me, Aggressive You",The Naked And Famous,5ImvJCAX33Pt2XGMaYaMia
74,Listen,The Kooks,6kqOHnshP4RMTUWKrhm6Sy
75,Nausea,Craft Spells,1ct8dPVmXPOQiyvz8uFUqE
76,Grace (Legacy Edition),Jeff Buckley,07Fr36M0hRPJrSJMFWGnvD
77,On Call,Kings of Leon,3HMAwt01L6ZTngAXQuxFr3
78,Nine Pound Shadow - EP,Nine Pound Shadow,0zOxy0QIvFV9G0zpP3HCqS
79,Night Thinker - EP,Amy Shark,2DRo3csimVdO1FGEQHKrZu
80,Flume: Deluxe Edition,Flume,5vaoiQeWdC1ssSaM2WjcjZ
81,Fall In Love,Phantogram,2NKj8bi7dC8RxZw0rS9QDE
82,The Day's War (Victory Edition),Lonely The Brave,4Wj1eRz1I5uHtDpTOmuDCh
83,When It Was Now (Deluxe Version),Atlas Genius,5Ix8zXCxsX8YCGAThyBVE8
84,AM,Arctic Monkeys,5bU1XKYxHhEwukllT20xtk
85,Hummingbird,Local Natives,1Zmq4tEgCSyTkud2ahysrq
86,Howl (Deluxe Edition),Night Riots,7l9uIV35NqVTEHa3gqvC3h
87,Clarity (Expanded Edition),Jimmy Eat World,0JfCEzWgcuUxrAUZw5eUT4
