,count
wait,11
for,80
me,158
i'll,44
understand,7
i,386
just,43
need,19
time,37
to,322
comprehend,1
your,131
changes,2
there's,23
always,18
been,18
these,3
in,143
you,389
remember,8
there,20
was,45
a,261
when,80
fears,1
we,127
had,16
left,6
behind,1
and,237
danced,1
but,63
it,129
seems,22
the,496
more,14
learn,3
we'll,5
that,76
it's,89
over,28
dangerous,3
this,117
game,5
play,6
killing,4
words,8
forget,3
if,68
can,42
way,27
moved,1
our,15
hands,16
touched,1
forced,1
force,1
do,90
all,98
dreams,17
nightmare,1
shared?,1
poison,1
of,178
love,75
so,53
pure,1
deceiving,1
deceit,1
is,62
have,69
got,64
be,104
too,19
late,6
take,33
chance,8
again,9
now,59
wireless,1
my,117
hand,7
ringing,1
distance,2
lives,1
keeps,1
spreading,1
pounding,2
hear,17
heart,59
i'm,119
not,26
listening,1
voice,2
from,25
far,2
away,20
screaming,1
you're,51
me!,1
again;,1
over!,1
some,31
people,14
stay,10
door,5
opening,1
up,67
they,35
hall,1
outside,2
hope,3
passes,1
by,26
live,14
with,63
fear,4
touch,23
anger,1
having,10
fool,5
will,49
listen,5
anyone,14
nobody,1
tells,1
them,32
lie,6
know,66
only,22
protecting,1
yourself,2
thinking,9
somebody,5
else,2
someone,6
who,29
hurt,8
above,7
making,3
you've,8
denying,1
could,13
ever,12
feel,27
doing,2
anything,1
restore,1
faith,34
see,23
through,17
eyes,13
old,6
before,13
get,63
look,9
at,24
young,15
willing,2
cry,2
because,21
am,23
an,32
innocent,9
man,15
chorus,72
oh,55
yes,10
say,40
never,33
believe,18
promise,1
dark,2
well,16
heard,2
tell,8
sleep,6
alone,14
every,17
night,23
instead,1
taking,2
lover,4
bed,1
find,19
easier,1
hate,1
then,7
anymore,2
don't,65
want,43
what,33
gonna,47
keep,10
turning,2
i've,33
survive,2
alive,8
going,12
being,1
cool,4
while,5
cruel,2
run,11
possible,1
fight,3
figure,1
win,12
although,1
lose,6
accused,1
out,21
spite,2
guess,3
you'd,4
rather,5
martyr,1
tonight,55
that's,18
decision,1
below,1
anybody,2
resurrecting,1
back,18
start,12
where,13
heartache,1
began,1
miracle,9
cure,1
accept,1
world,17
as,11
lay,3
down,35
die,2
oooh,3
here,8
within,2
reach,6
she's,25
sound,2
asleep,1
sweeter,1
than,34
wildest,1
dream,10
seen,2
her,34
watch,5
slipping,1
hunting,7
high,16
low,11
no,56
end,10
lengths,4
go,46
upon,1
are,48
depending,1
sense,1
next,3
mine,13
sweetest,1
means,4
telling,1
tearing,2
myself,1
pieces,1
whitney,7
houston,10
+,4
nelly,10
nah,8
whoooo,3
come,42
on,105
ohhhh,1
boy,5
right,23
little,6
dirty,2
ohh,4
world's,2
famous,1
mrs.,3
rolling,4
like,66
simple,5
things,16
ain't,8
bout,2
trial,2
tribulation,2
wanna,21
vacation,2
whitney!!!!,1
adlibs,2
kick,2
off,10
shoes,3
relax,2
feet,5
hit,5
kitchen,2
grab,1
bite,1
eat,4
head,9
girl,32
one,33
those,8
crazy,7
weeks,1
ugh,7
gotta,2
something,14
special,1
ma,3
salon,1
mani,1
pedi,1
massage,1
sip,1
ready,1
real,3
ladies,4
talking,2
about,12
sing!!!!,2
ooooooh,4
baby,32
yeah,34
babygirl,1
sing,4
let,28
obvious,2
exactly,2
independent,3
lady,5
buy,9
own,5
mercedes,3
verse,56
two!!!!,1
set,4
body,7
free,3
mind,7
t.v.,2
cut,2
music,4
light,6
candles,1
aromas,1
hot,2
tub,2
bubbles,1
surround,1
there?,1
mr.,1
bigg,1
background,2
ground,4
isley,1
brothers,1
hold,18
problem,3
mean,6
she,42
gentlemen,2
hush,1
plead,1
case,9
understood,1
jump,1
said,7
needed,2
space,3
whatever,8
give,11
peace,1
cause,19
yback,1
