,count
verse,105
1,44
nick,11
jonas,20
we,124
go,148
together,4
better,19
than,14
birds,1
of,173
a,520
feather,1
you,973
and,343
me,406
change,11
the,696
weather,1
yeah,331
i'm,385
feelin',6
heat,2
in,235
december,1
when,96
you're,43
'round,3
pre-chorus,41
joe,9
i've,59
been,63
dancin',5
on,244
top,14
cars,3
stumblin',3
out,84
bars,5
i,1083
follow,9
through,17
dark,6
can't,104
get,173
enough,10
medicine,3
pain,25
tattoo,3
inside,6
my,408
brain,15
baby,83
know,177
it's,118
obvious,3
chorus,121
sucker,14
for,232
say,77
word,6
i'll,57
anywhere,3
blindly,3
any,4
road,8
take,50
that,281
you'll,7
find,14
all,165
subliminal,3
things,12
no,190
one,75
knows,3
about,67
makin',8
typical,6
break,8
rules,4
true,6
2,47
don't,139
complicate,1
it,401
'cause,59
everything,18
remember,7
nights,15
oh,50
uh,51
intro,22
let's,17
chasing,10
lean,10
okay,9
rotting,9
do,120
honestly,8
drugs,9
only,28
thing,20
that's,79
faithful,6
to,373
sorry,13
groupie,6
hoes,13
wanna,146
come,38
way,23
this,85
pic,6
face,19
ran,6
into,7
main,2
dick,15
can,88
stay,11
year,12
codeine,8
sip,4
beer,2
holy,2
shit,86
he's,7
words,2
from,58
peers,2
like,218
suck,7
how,46
goes,2
around,14
here,11
cowboy,2
big,22
six,4
shooter,2
air,4
drunky,2
fuck,123
bitch,79
then,47
kill,5
nigga,62
buck,2
these,43
niggas,69
really,31
want,96
dead,6
think,56
they,86
lucky,3
c'mon,6
told,13
love,162
her,36
did,23
hope,14
she,108
mean,12
whoa,13
wouldn't,9
lie,13
trust,12
at,38
street,7
drug,39
see,64
hide,5
ugly,4
ain't,123
never,60
dicked,2
up,195
concussion,2
uh-huh,4
had,40
snoop,2
dogg,3
discussion,2
sexual,3
eruption,2
smash,8
open,5
them,66
legs,4
hungry,2
bank,5
account,5
eruptin',4
need,55
safe,8
or,52
something,9
dirt,6
bike,6
riding,4
junkie,4
wraith,10
nothing,17
but,149
wrist,18
somethin',21
skrrt,20
rape,7
white,7
cops,4
raid,7
crib,12
just,122
black,19
comin',5
12,9
champagne,5
glass,4
kitchen,5
counter,5
ace,4
spades,4
wait,18
wave,4
slave,2
chains,2
forgettin',2
our,13
forefathers,2
paved,2
hey,21
who,47
am,40
talk?,2
ap,2
gang,6
hundred,4
fifty,3
case,2
used,21
bein',4
afraid,16
coke,6
dinner,4
plate,3
brand,2
new,24
china,2
set,7
house,6
versace,2
plates,2
what,131
your,140
mama,31
tell,37
gettin',18
involved?,2
got,163
gun,8
still,39
too,31
soft,2
gon',40
shoot,10
if,126
i'ma,15
let,85
off,38
hot,12
boy,21
young,26
lil,9
wayne,2
socks,8
plus,11
glock,2
clip,4
huggin',2
thot,8
givin',2
'em,57
where,20
is,120
rockstar,2
lifestyle,2
livin',4
ridin',4
totin',3
stainless,3
aim,2
beat,13
switch,9
interlude,4
y'all,8
haha,2
dawn,2
denial,2
double,6
cup,7
pleasure,2
feel,33
forever?,2
forever,6
matter,9
fucked,3
giving,4
effort,5
phone,8
line,3
going,5
awol,2
plug,3
now,52
act,6
music,5
town,8
bees,24
knees,27
hard,22
away,17
money,60
afford,3
loyalty,2
hell,13
gotta,16
pay,7
loyalty?,2
whole,26
team,4
child's,2
play,17
refrain,4
oc,4
nosebleed,4
bentley,12
guts,4
cocaine,4
seats,4
dust,4
benz,3
smokin',7
thrax,6
countin',10
racks,13
outro,25
hah,4
not,67
ready,10
homie,3
listen,10
juice,11
talk,15
he,49
talkin',8
boss,4
real,28
fault,2
high,19
death,6
race,2
racin',8
though,9
heart,17
facts,4
mind,12
diamonds,8
racist,2
huh,4
dig?,2
"""lucid",2
"dreams""",2
playlist,2
yes,5
sir,2
took,63
smiled,2
lookin',5
"""how",2
could,39
"this?""",2
timeless,2
thank,112
god,16
card,4
show,10
percs,5
now?,2
stop,10
fuckin',31
with,197
businessman,8
so,128
'bout,20
business,3
man,18
ayy,28
rp,2
cap,8
seen,11
old,9
videos,2
dream,4
playin',5
basketball,2
michael,4
jordan,2
game,14
6,3
three,7
weave,2
knee,1
deep,4
water,3
surfboard,1
wipe,6
tears,11
cryin',2
for?,8
are,27
mad,20
sad,28
give,34
ask,5
why,49
eyes,6
crying,2
by,7
side,2
dying,4
ooh,23
heard,7
slangin',1
iron,1
brazy,1
cute,1
mmh,6
crazy,7
boo-boo,1
maserati,1
body,11
whoever,3
disrespect,1
anything,2
vvs,2
neck,14
fire,24
lol,1
dry,1
cleaner,1
bitches,18
wet,2
demeanor,1
pull,10
stick,2
fade,1
bet,4
ass,27
ynw,1
finna,1
walk,7
place,2
everywhere,3
trash,1
disgrace,1
states,1
be,131
world,10
done,21
lot,12
boys,1
girls,6
screamin',1
lying,1
tick,2
pick,20
chin,1
wrong,8
you?,8
fact,1
girl,39
what's,7
goin',6
keep,15
sayin',8
make,44
song,12
bae,4
right,31
scared,8
man?,1
track,3
alright,5
reebee,2
rap,5
might,8
mwah,2
said,33
found,10
somebody,13
nothin',10
do?,1
swear,9
beats,1
stoppin',1
sometimes,11
hate,9
miss,14
me?,40
even,34
care?,6
over,26
head?,7
close,16
try,21
beggin',1
back,74
have,49
mine,6
bridge,18
thought,7
i'd,11
end,4
sean,12
wasn't,6
match,6
wrote,6
some,34
songs,28
ricky,3
laugh,5
almost,3
married,3
pete,3
thankful,5
wish,9
"""thank",3
"you""",8
malcolm,3
was,72
an,13
angel,4
taught,19
patience,15
amazing,15
loved,9
lost,22
look,32
next,133
grateful,15
ex,15
fuckin'—,3
spend,3
more,48
time,29
friends,5
worried,5
met,5
someone,18
else,6
havin',5
discussions,3
move,4
fast,10
last,11
name,16
ari,3
good,22
handles,3
shit's,3
she's,6
searching,6
post-chorus,9
fucking—,3
day,28
down,33
aisle,3
holding,3
hands,8
thanking,3
dad,3
grew,9
drama,8
once,7
bad,26
forbid,3
happens,3
least,7
much,10
learned,5
turned,7
yee,6
croosh,7
flex,9
cause,13
young-young,3
poppin,19
mir,1
fontane,1
weed,2
drink,3
chilling,1
ones,6
energy,1
enemies,4
four,2
five,4
couple,6
guys,1
ever,42
life,32
grown,1
kid,8
guy,4
rich,7
doing,1
well,8
macaroni,1
cartel,1
queen,1
b,1
michelle,1
?,1
there's,6
jb,1
blockboy,1
till,7
drop,12
boi,1
wav,1
compare,1
dope,3
goat,1
decibals,1
ate,1
edible,1
smoke,6
incredible,1
circle,1
decimal,1
fine,7
own,11
people,9
always,7
talking,4
hear,9
higher,1
rocket,1
ship,2
cannot,5
yet,10
acknowledgement,1
huey,4
mack,4
it?,2
believe,10
dreaming,2
city,9
nut,1
tiger,1
wearing,4
peacoat,1
floor,4
nasty,1
low,4
put,35
hydraulics,1
caddy,1
treat,3
family,2
call,16
daddy,3
best,10
that'd,1
hook,18
commit,1
drunk,11
"""baby",1
"bullshit""",1
"""don't",2
"punk""",1
"""girl",1
help,5
"it""",2
date,6
rapper,8
nah,4
night,16
dude,2
habits,1
leave,41
convenience,1
second,6
kidney,1
ah,5
shouldn't,8
saying,5
rain,8
every,18
staying,1
hit,39
tonight,30
relax,3
nsync,1
strings,2
attached,1
maybe,6
that'll,1
same,16
cuz,8
til,1
went,20
ways,1
x2,1
t-minus?,1
i’m,13
bullets,2
loadin’,1
clips,2
writin',2
names,2
list,4
checkin',2
twice,6
gettin’,1
’em,1
dyin',3
fake,2
lit,3
balance,2
dirty,6
sneakers,3
bag,8
as,39
snort,1
powder,1
blunt,1
liable,1
trip,1
ain’t,9
poppin',5
pill,1
roll,10
fiends,1
few,4
mil',1
bread,1
broke?,1
first,10
class,1
sit?,1
mission,1
quit,1
lebron,1
chips,1
rollie,3
watch,3
came,5
drizzy,1
gave,10
gift,1
prayin',2
diss,1
two,10
legends,1
coexist,1
beef,8
legit,1
won't,12
clout,4
fame,3
sellin',1
sell,3
latest,1
lil',8
slid,1
lane,1
grows,1
destined,1
glad,1
scrape,1
dollar,1
erase,1
ogs,1
thankin',1
watchin',2
pavin',1
ground,3
copied,1
cadence,1
mirrored,1
style,2
studied,1
greats,1
greatest,2
choice,1
promo,1
made,27
noise,1
different,4
intentions,1
promise,4
slap,1
voice,4
loadin',1
poured,2
wantin',2
lettin',2
palm,4
foot,2
stuck,4
squad,7
pistol,3
hand,10
middle,5
generations,1
little,15
bro,2
left,10
lab,1
21,1
savage,1
meet,4
jigga,4
lunch,1
long,4
kodak,5
reminded,1
'ville,1
straight,7
projects,7
fakin',1
honest,1
guidance,1
many,5
cycle,1
jail,3
spending,1
birthdays,1
cell,1
coming,12
bloodline,1
trauma,1
raised,2
mamas,2
lord,8
heal,1
hurting,1
sisters,1
babies,3
killing,2
brothers,2
poisoned,1
distorted,1
self,1
image,2
fail,1
sure,2
prevail,1
breakfast,1
tiffany's,1
bottles,10
bubbles,1
tattoos,1
getting,4
trouble,4
lashes,1
atm,1
machines,1
buy,7
myself,2
favorite,1
should,7
woulda,1
it'd,1
turn,11
savage?,1
rather,5
tied,1
calls,1
write,3
checks,5
sing,2
flossy,1
deposits,1
gloss,1
hair?,4
gee,4
thanks,4
bought,13
yep,3
ring,3
"""mrs.""",1
matching,1
spoil,1
riches,1
retail,1
therapy,1
addiction,1
solve,2
problems,1
must,4
"""which",1
"one?""",1
"""nah",1
"'em""",1
happiness,1
price,6
red-bottoms,1
smile,4
beamin',1
skin,3
gleamin',2
shine,1
you've,6
closet,2
both,5
his,19
hers,1
3,12
receipts,1
numbers,1
number,2
settin',1
tone,1
brag,1
"""put",1
"bag""",1
stacked,1
store,5
booth,1
loop,1
gimme,1
loot,1
net,1
jet,4
