Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
i,162,244,459,386,774,688,645,1083,336,415,450,7,694,264,139,296,186,58,352,234,352,49,128,176,183,173,16,827,75,156,190,106,109,93,269,154,110,11038
you,150,244,298,392,867,811,902,973,335,388,277,7,751,331,195,533,75,51,363,319,363,118,336,272,179,124,73,491,116,36,109,77,99,148,304,248,145,11500
the,155,324,561,515,590,743,500,696,300,274,572,57,666,217,335,294,171,106,209,271,209,102,328,286,127,152,126,331,150,232,190,151,316,147,209,233,302,11147
a,81,176,347,273,352,391,262,520,297,156,305,29,478,93,100,204,100,32,108,162,108,30,146,58,120,92,42,281,98,56,89,93,160,51,92,44,136,6162
my,64,96,236,117,219,285,274,408,152,187,170,44,166,252,77,156,92,23,284,68,284,59,37,81,65,56,11,241,17,90,95,33,83,32,87,79,43,4763
me,67,154,230,158,283,409,383,406,207,286,203,22,132,164,99,230,75,52,295,152,295,50,43,57,133,48,22,227,40,65,58,40,34,123,132,166,81,5621
it,39,65,119,133,321,323,249,401,150,173,187,7,130,150,139,135,74,9,63,57,63,55,115,70,60,17,10,258,36,18,65,43,88,26,62,143,47,4100
i'm,14,72,139,117,147,294,222,385,133,61,187,,92,55,46,130,59,12,185,63,185,11,28,79,73,42,9,203,26,3,32,27,138,10,281,26,96,3682
to,67,149,269,311,459,411,360,373,164,262,236,73,466,234,190,177,140,90,96,112,96,61,205,72,77,98,71,362,55,59,70,87,178,186,71,151,183,6721
and,117,198,395,236,422,426,341,343,128,142,315,22,229,152,164,149,110,36,301,228,301,31,250,61,80,67,75,385,99,58,73,117,248,130,310,169,154,7062
yeah,16,33,38,22,108,156,153,331,47,146,68,,72,23,6,89,7,,7,117,7,7,34,5,12,17,13,24,89,,18,,,,25,59,31,1780
that,52,71,129,84,236,168,190,281,59,71,134,,222,16,38,98,11,25,34,108,34,15,53,33,65,54,22,120,38,21,60,51,101,25,56,11,15,2801
on,35,77,105,109,158,240,228,244,96,88,307,,81,46,46,98,24,40,281,85,281,1,34,70,24,38,18,102,25,44,55,20,24,8,82,48,112,3374
